real_name,screen_name,party_id,most_recent_chamber,date_of_birth,gender,repr_state,race,date_of_first_federal_assignment,date_of_last_federal_assignment,years_in_office_2020,white_non_white
Cynthia Marie Lummis,CynthiaLummis,R,House,10-Sep-54,M,Wyoming,White,2009,2017,8,White
Greg Walden,repgregwalden,R,House,10-Jan-57,M,Oregon,White,1999,2020,21,White
Jay Inslee,RepInsleeNews,D,House,9-Feb-51,M,Washington,White,1999,2012,13,White
Jim Matheson,RepJimMatheson,D,House,21-Mar-60,M,Utah,White,2001,2015,14,White
Todd Tiahrt,reptoddtiahrt,R,House,15-Jun-51,M,Kansas,White,1995,2011,16,White
John J Duncan Jr,RepJohnDuncanJr,R,House,21-Jul-47,M,Tennessee,White,1988,2019,31,White
Robert B. Aderholt,Robert_Aderholt,R,House,22-Jul-65,M,Alabama,White,1997,2020,23,White
Howard L. Berman,RepHowardBerman,D,House,15-Apr-41,M,California,White,1983,2013,30,White
Mel Martinez,MelMartinez,R,Senate,23-Oct-46,M,Florida,Hispanic,2005,2009,4,Non-White
Bill Posey,congbillposey,R,House,18-Dec-47,M,Florida,White,2009,2020,11,White
Howard Coble,HowardCoble,R,House,18-Mar-31,M,North Carolina,White,1985,2015,30,White
Shelley Berkley,RepBerkley,D,House,20-Jan-51,F,Nevada,White,1999,2013,14,White
John Shadegg,RepJohnShadegg,R,House,22-Oct-49,M,Arizona,White,1995,2011,16,White
Steven Russell,RepRussell,R,House,25-May-63,M,Oklahoma,White,2015,2019,4,White
Jerry Lewis,RepJerryLewis,R,House,21-Oct-34,M,California,White,1979,2013,34,White
Edolphus Towns,EdTowns,D,House,21-Jul-34,M,New York,Black,1983,2013,30,Non-White
Deborah Halvorson,debbiehalvorson,D,House,1-Mar-58,F,Illinois,White,2009,2011,2,White
Sam Johnson,SamsPressShop,R,House,11-Oct-30,M,Texas,White,1991,2019,28,White
Doug LaMalfa,RepLaMalfa,R,House,2-Jul-60,M,California,White,2013,2020,7,White
Joseph R Biden Jr,JoeBiden,D,Senate,20-Nov-42,M,Delaware,White,1973,2009,36,White
Robert A. Brady,RepBrady,D,House,7-Apr-45,M,Pennsylvania,White,1998,2019,21,White
George Holding,RepHolding,R,House,17-Aug-68,M,North Carolina,White,2013,2020,7,White
Duncan D Hunter,Rep_Hunter,R,House,7-Dec-76,M,California,White,2009,2020,11,White
Howard P. (Buck) Mckeon,BuckMcKeon,R,House,9-Sep-38,M,California,White,1993,2015,22,White
Gary Miller,RepGaryMiller,R,House,16-Oct-48,M,California,White,1999,2015,16,White
